replay_id,format_id,player_slot,player_name,opponent_name,player_rating,opponent_rating,rating_diff,turns,team_size,team_pokemon,won_battle,sum_hp,mean_hp,sum_attack,mean_attack,sum_defense,mean_defense,sum_sp_attack,mean_sp_attack,sum_sp_defense,mean_sp_defense,sum_speed,mean_speed
gen9ou-2486596356,gen9ou,p1,,Scoobenvonduben,,1245.0,,60,6,"Tyranitar,Excadrill,Tornadus-Therian,Tinkaton,Sinistcha,Toxapex",0,495.0,82.5,567.0,94.5,585.0,97.5,499.0,83.16666666666667,582.0,97.0,469.0,78.16666666666667
gen9ou-2486596356,gen9ou,p2,Scoobenvonduben,,1245.0,,,60,6,"Blissey,Skeledirge,Gliscor,Gyarados,Corviknight,Grafaiai",1,690.0,115.0,487.0,81.16666666666667,484.0,80.66666666666667,423.0,70.5,542.0,90.33333333333331,474.0,79.0
gen9ou-2486596363,gen9ou,p1,cjfyazzzz,Pokeboomer Wetini,1101.0,1111.0,-10.0,15,6,"Dragapult,Excadrill,Rillaboom,Cinderace,Heatran,Garchomp",0,577.0,96.16666666666669,716.0,119.33333333333331,501.0,83.5,485.0,80.83333333333333,476.0,79.33333333333333,613.0,102.16666666666669
gen9ou-2486596363,gen9ou,p2,Pokeboomer Wetini,cjfyazzzz,1111.0,1101.0,10.0,15,6,"Garganacl,Chandelure,Glimmora,Ceruledge,Skarmory,Dragapult",1,471.0,78.5,535.0,89.16666666666667,605.0,100.83333333333331,520.0,86.66666666666667,506.0,84.33333333333333,498.0,83.0
gen9ou-2486598415,gen9ou,p1,Scldbrn,,1161.0,,,6,6,"Garchomp,Zamazenta-*,Dragapult,Ogerpon-Wellspring,Slowking-Galar,Corviknight",1,561.0,93.5,642.0,107.0,554.0,92.33333333333331,483.0,80.5,566.0,94.33333333333331,589.0,98.16666666666669
gen9ou-2486598415,gen9ou,p2,,Scldbrn,,1161.0,,6,6,"Tropius,Venusaur,Ninetales,Exeggutor,Lilligant-Hisui,Torkoal",0,487.0,81.16666666666667,511.0,85.16666666666667,541.0,90.16666666666669,513.0,85.5,507.0,84.5,411.0,68.5
gen9ou-2486600954,gen9ou,p1,omari p,,1511.0,,,9,6,"Cinderace,Darkrai,Deoxys-Speed,Dragapult,Tornadus-Therian,Zamazenta-*",1,459.0,76.5,641.0,106.83333333333331,525.0,87.5,585.0,97.5,535.0,89.16666666666667,825.0,137.5
gen9ou-2486600954,gen9ou,p2,,omari p,,1511.0,,9,6,"Jolteon,Slowking-Galar,Great Tusk,Moltres,Kingambit,Hydrapple",0,571.0,95.16666666666669,576.0,96.0,591.0,98.5,578.0,96.33333333333331,508.0,84.66666666666667,431.0,71.83333333333333
gen9ou-2486603049,gen9ou,p1,Nexagone,fludermay,1237.0,1308.0,-71.0,25,6,"Pelipper,Barraskewda,Weavile,Tornadus-Therian,Landorus-Therian,Scizor",0,429.0,71.5,668.0,111.33333333333331,495.0,82.5,470.0,78.33333333333333,455.0,75.83333333333333,603.0,100.5
gen9ou-2486603049,gen9ou,p2,fludermay,Nexagone,1308.0,1237.0,71.0,25,6,"Kingambit,Cinderace,Landorus-Therian,Iron Valiant,Kyurem,Slowking-Galar",1,563.0,93.83333333333331,721.0,120.16666666666669,545.0,90.83333333333331,590.0,98.33333333333331,500.0,83.33333333333333,501.0,83.5
gen9ou-2486603467,gen9ou,p1,cynetic666,,1439.0,,,23,6,"Rillaboom,Hawlucha,Garganacl,Hatterene,Kyurem,Iron Moth",1,540.0,90.0,607.0,101.16666666666669,540.0,90.0,585.0,97.5,526.0,87.66666666666667,472.0,78.66666666666667
gen9ou-2486603467,gen9ou,p2,,cynetic666,,1439.0,,23,6,"Latios,Ogerpon-Wellspring,Zamazenta-*,Iron Treads,Hatterene,Moltres",0,489.0,81.5,632.0,105.33333333333331,584.0,97.33333333333331,603.0,100.5,579.0,96.5,583.0,97.16666666666669
gen9ou-2486604103,gen9ou,p1,snortsand,,1185.0,,,88,6,"Pelipper,Zapdos,Mandibuzz,Toxapex,Scizor,Hydreigon",1,472.0,78.66666666666667,503.0,83.83333333333333,632.0,105.33333333333331,508.0,84.66666666666667,567.0,94.5,443.0,73.83333333333333
gen9ou-2486604103,gen9ou,p2,,snortsand,,1185.0,,88,6,"Clodsire,Dragapult,Dondozo,Meowscarada,Corviknight,Iron Valiant",0,616.0,102.66666666666669,622.0,103.66666666666669,515.0,85.83333333333333,464.0,77.33333333333333,455.0,75.83333333333333,503.0,83.83333333333333
gen9ou-2486604725,gen9ou,p1,itssblisss,,1154.0,,,21,6,"Dragonite,Alomomola,Corviknight,Great Tusk,Iron Valiant,Kingambit",1,643.0,107.16666666666669,692.0,115.33333333333331,621.0,103.5,426.0,71.0,428.0,71.33333333333333,465.0,77.5
gen9ou-2486604725,gen9ou,p2,,itssblisss,,1154.0,,21,6,"Blastoise,Garchomp,Zoroark-Hisui,Kingambit,Glimmora,Gliscor",0,500.0,83.33333333333333,598.0,99.66666666666669,590.0,98.33333333333331,525.0,87.5,491.0,81.83333333333333,521.0,86.83333333333333
gen9ou-2486604811,gen9ou,p1,,Dracoralnic,,1000.0,,22,6,"Indeedee-F,Armarouge,Gholdengo,Gastrodon,Zoroark-Hisui,Samurott-Hisui",0,498.0,83.0,466.0,77.66666666666667,468.0,78.0,670.0,111.66666666666669,483.0,80.5,478.0,79.66666666666667
gen9ou-2486604811,gen9ou,p2,Dracoralnic,,1000.0,,,22,6,"Meowstic,Zoroark-Hisui,Blaziken,Dragonite,Hatterene,Kingambit",1,457.0,76.16666666666667,627.0,104.5,516.0,86.0,614.0,102.33333333333331,499.0,83.16666666666667,453.0,75.5
gen9ou-2486604814,gen9ou,p1,,Sastifur,,1446.0,,19,6,"Latios,Ogerpon-Wellspring,Zamazenta-*,Iron Treads,Hatterene,Moltres",0,489.0,81.5,632.0,105.33333333333331,584.0,97.33333333333331,603.0,100.5,579.0,96.5,583.0,97.16666666666669
gen9ou-2486604814,gen9ou,p2,Sastifur,,1446.0,,,19,6,"Torkoal,Cinderace,Whimsicott,Walking Wake,Charizard,Shiftry",1,477.0,79.5,535.0,89.16666666666667,529.0,88.16666666666667,551.0,91.83333333333331,448.0,74.66666666666667,544.0,90.66666666666669
gen9ou-2486605849,gen9ou,p1,,DurantLatios拉帝欧斯侠,,1392.0,,17,6,"Rotom-Wash,Torkoal,Garganacl,Arboliva,Ceruledge,Dragonite",0,464.0,77.33333333333333,578.0,96.33333333333331,642.0,107.0,520.0,86.66666666666667,576.0,96.0,345.0,57.5
gen9ou-2486605849,gen9ou,p2,DurantLatios拉帝欧斯侠,,1392.0,,,17,6,"Latios,Ogerpon-Wellspring,Zamazenta-*,Iron Treads,Hatterene,Moltres",1,489.0,81.5,632.0,105.33333333333331,584.0,97.33333333333331,603.0,100.5,579.0,96.5,583.0,97.16666666666669
gen9ou-2486606608,gen9ou,p1,eggyhvevo,qingshou,1606.0,1727.0,-121.0,21,6,"Kingambit,Great Tusk,Primarina,Darkrai,Tornadus-Therian,Dragapult",0,532.0,88.66666666666667,650.0,108.33333333333331,570.0,95.0,584.0,97.33333333333331,509.0,84.83333333333333,585.0,97.5
gen9ou-2486606608,gen9ou,p2,qingshou,eggyhvevo,1727.0,1606.0,121.0,21,6,"Ninetales,Walking Wake,Great Tusk,Alomomola,Corviknight,Fezandipiti",1,638.0,106.33333333333331,543.0,90.5,564.0,94.0,422.0,70.33333333333333,491.0,81.83333333333333,527.0,87.83333333333333
gen9ou-2486606803,gen9ou,p1,,151htyrneh,,1889.0,,15,6,"Ceruledge,Rillaboom,Raging Bolt,Serperior,Glimmora,Great Tusk",0,573.0,95.5,584.0,97.33333333333331,577.0,96.16666666666669,515.0,85.83333333333333,488.0,81.33333333333333,531.0,88.5
gen9ou-2486606803,gen9ou,p2,151htyrneh,,1889.0,,,15,6,"Dragapult,Glimmora,Comfey,Kingambit,Ogerpon-Wellspring,Blaziken",1,482.0,80.33333333333333,602.0,100.33333333333331,529.0,88.16666666666667,542.0,90.33333333333331,517.0,86.16666666666667,568.0,94.66666666666669
gen9ou-2486607500,gen9ou,p1,Dracoralnic,,1043.0,,,15,6,"Meowstic,Zoroark-Hisui,Blaziken,Dragonite,Hatterene,Kingambit",1,457.0,76.16666666666667,627.0,104.5,516.0,86.0,614.0,102.33333333333331,499.0,83.16666666666667,453.0,75.5
gen9ou-2486607500,gen9ou,p2,,Dracoralnic,,1043.0,,15,6,"Ceruledge,Meowscarada,Tinkaton,Kingambit,Iron Valiant,Dragapult",0,498.0,83.0,695.0,115.83333333333331,512.0,85.33333333333333,491.0,81.83333333333333,495.0,82.5,610.0,101.66666666666669
gen9ou-2486608587,gen9ou,p1,gggguan1,,1076.0,,,19,6,"Ting-Lu,Ogerpon-Wellspring,Scizor,Cinderace,Dragonite,Zamazenta-*",1,568.0,94.66666666666669,730.0,121.66666666666669,594.0,99.0,415.0,69.16666666666667,546.0,91.0,557.0,92.83333333333331
gen9ou-2486608587,gen9ou,p2,,gggguan1,,1076.0,,19,6,"Ceruledge,Meowscarada,Tinkaton,Kingambit,Iron Valiant,Dragapult",0,498.0,83.0,695.0,115.83333333333331,512.0,85.33333333333333,491.0,81.83333333333333,495.0,82.5,610.0,101.66666666666669
gen9ou-2486608913,gen9ou,p1,,qingshou,,1758.0,,29,6,"Cinderace,Darkrai,Deoxys-Speed,Dragapult,Tornadus-Therian,Zamazenta-*",0,459.0,76.5,641.0,106.83333333333331,525.0,87.5,585.0,97.5,535.0,89.16666666666667,825.0,137.5
gen9ou-2486608913,gen9ou,p2,qingshou,,1758.0,,,29,6,"Ninetales,Walking Wake,Great Tusk,Alomomola,Corviknight,Fezandipiti",1,638.0,106.33333333333331,543.0,90.5,564.0,94.0,422.0,70.33333333333333,491.0,81.83333333333333,527.0,87.83333333333333
gen9ou-2486608971,gen9ou,p1,I Am LegendZA,,1431.0,,,26,6,"Raging Bolt,Great Tusk,Alomomola,Gholdengo,Lokix,Corviknight",1,661.0,110.16666666666669,528.0,88.0,580.0,96.66666666666669,468.0,78.0,418.0,69.66666666666667,470.0,78.33333333333333
